"","FIPS","GeoName","year","rpp_goods","rpp_services_housing","rpp_services_other","rpp_services_utilities","rpp_all_items"
"2719","19660","Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",2014,"97.702","97.157","100.403","93.962","98.708"
"2720","19740","Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",2014,"101.843","129.049","99.81","86.827","103.926"
"2721","19780","Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",2014,"98.318","95.608","96.179","98.853","96.947"
"2722","19820","Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",2014,"99.565","95.488","98.952","99.689","98.644"
"2723","20020","Dothan, AL (Metropolitan Statistical Area)",2014,"95.907","55.731","99.781","117.324","89.212"
"2724","20100","Dover, DE (Metropolitan Statistical Area)",2014,"97.293","93.964","100.301","106.624","98.441"
"2725","20220","Dubuque, IA (Metropolitan Statistical Area)",2014,"98.619","74.537","96.525","98.708","93.638"
"2726","20260","Duluth, MN-WI (Metropolitan Statistical Area)",2014,"98.198","67.915","96.225","88.548","90.067"
"2727","20500","Durham-Chapel Hill, NC (Metropolitan Statistical Area)",2014,"96.68","89.042","100.288","100.877","97.226"
"2728","20700","East Stroudsburg, PA (Metropolitan Statistical Area)",2014,"97.961","106.164","97.769","95.003","99.2"
"2729","20740","Eau Claire, WI (Metropolitan Statistical Area)",2014,"98.848","78.203","96.51","93.806","94.129"
"2730","20940","El Centro, CA (Metropolitan Statistical Area)",2014,"97.124","72.849","98.722","82.747","92.194"
"2731","21060","Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",2014,"91.98","67.512","99.153","102.297","90.637"
"2732","21140","Elkhart-Goshen, IN (Metropolitan Statistical Area)",2014,"98.745","71.426","96.462","105.845","92.963"
"2733","21300","Elmira, NY (Metropolitan Statistical Area)",2014,"97.094","92.804","98.036","102.558","97.044"
"2734","21340","El Paso, TX (Metropolitan Statistical Area)",2014,"97.607","74.911","100.207","115.656","94.624"
"2735","21420","Enid, OK (Metropolitan Statistical Area) 1/",2014,"98.085","58.053","100.152","111.341","90.518"
"2736","21500","Erie, PA (Metropolitan Statistical Area)",2014,"97.961","75.751","97.769","95.32","94.051"
"2737","21660","Eugene-Springfield, OR (Metropolitan Statistical Area)",2014,"96.393","95.019","101.466","86.14","98.079"
"2738","21780","Evansville, IN-KY (Metropolitan Statistical Area)",2014,"98.703","68.851","96.506","105.534","92.26"
"2739","21820","Fairbanks, AK (Metropolitan Statistical Area)",2014,"96.68","133.285","99.702","101.582","102.525"
"2740","22020","Fargo, ND-MN (Metropolitan Statistical Area)",2014,"99.022","80.649","96.881","85.108","94.847"
"2741","22140","Farmington, NM (Metropolitan Statistical Area)",2014,"97.806","78.849","98.786","89.733","94.956"
"2742","22180","Fayetteville, NC (Metropolitan Statistical Area)",2014,"95.345","75.451","100.005","100.751","93.616"
"2743","22220","Fayetteville-Springdale-Rogers, AR (Metropolitan Statistical Area)",2014,"97.518","69.332","100.507","107.637","94.265"
"2744","22380","Flagstaff, AZ (Metropolitan Statistical Area)",2014,"97.709","98.731","100.162","102.238","99.113"
"2745","22420","Flint, MI (Metropolitan Statistical Area)",2014,"99.565","70.215","98.952","99.634","93.589"
"2746","22500","Florence, SC (Metropolitan Statistical Area)",2014,"95.575","57.562","99.537","107.048","89.413"
"2747","22520","Florence-Muscle Shoals, AL (Metropolitan Statistical Area)",2014,"97.784","47.971","100.254","117.281","87.881"
"2748","22540","Fond du Lac, WI (Metropolitan Statistical Area)",2014,"95.718","74.375","93.886","94.022","91.339"
"2749","22660","Fort Collins, CO (Metropolitan Statistical Area)",2014,"96.402","114.621","101.734","86.881","101.703"
"2750","22900","Fort Smith, AR-OK (Metropolitan Statistical Area)",2014,"97.297","59.554","100.389","108.18","91.222"
"2751","23060","Fort Wayne, IN (Metropolitan Statistical Area)",2014,"98.745","72.226","96.462","106.196","93.055"
"2752","23420","Fresno, CA (Metropolitan Statistical Area)",2014,"96.798","90.555","100.893","82.51","97.164"
"2753","23460","Gadsden, AL (Metropolitan Statistical Area)",2014,"97.784","55.604","100.254","117.492","90.362"
"2754","23540","Gainesville, FL (Metropolitan Statistical Area)",2014,"96.636","89.565","100.321","93.648","97.194"
"2755","23580","Gainesville, GA (Metropolitan Statistical Area)",2014,"91.492","83.767","98.365","111.618","93.571"
"2756","23900","Gettysburg, PA (Metropolitan Statistical Area)",2014,"97.961","77.679","97.769","95.219","94.774"
"2757","24020","Glens Falls, NY (Metropolitan Statistical Area)",2014,"97.094","83.572","98.036","102.434","95.165"
"2758","24140","Goldsboro, NC (Metropolitan Statistical Area)",2014,"97.428","61.954","100.444","100.841","91.269"
"2759","24220","Grand Forks, ND-MN (Metropolitan Statistical Area)",2014,"98.991","79.138","96.852","85.369","94.384"
"2760","24260","Grand Island, NE (Metropolitan Statistical Area)",2014,"95.338","56.655","93.123","101.262","87.046"
"2761","24300","Grand Junction, CO (Metropolitan Statistical Area)",2014,"98.264","93.217","99.154","86.69","97.43"
"2762","24340","Grand Rapids-Kentwood, MI (Metropolitan Statistical Area)",2014,"98.196","85.143","96.555","99.538","95.336"
"2763","24420","Grants Pass, OR (Metropolitan Statistical Area)",2014,"97.736","79.694","99.378","85.992","94.455"
"2764","24500","Great Falls, MT (Metropolitan Statistical Area)",2014,"96.535","59.447","100.74","80.129","91.863"
"2765","24540","Greeley, CO (Metropolitan Statistical Area)",2014,"101.945","102.354","99.828","86.947","100.499"
"2766","24580","Green Bay, WI (Metropolitan Statistical Area)",2014,"98.304","76.215","96.056","93.963","93.315"
"2767","24660","Greensboro-High Point, NC (Metropolitan Statistical Area)",2014,"96.721","74.738","100.296","100.757","94.319"
"2768","24780","Greenville, NC (Metropolitan Statistical Area)",2014,"97.428","67.334","100.444","100.745","92.488"
"2769","24860","Greenville-Anderson, SC (Metropolitan Statistical Area)",2014,"97.153","69.186","100.02","107.167","93.095"
"2770","25060","Gulfport-Biloxi, MS (Metropolitan Statistical Area)",2014,"97.854","74.46","100.378","117.379","94.923"
"2771","25180","Hagerstown-Martinsburg, MD-WV (Metropolitan Statistical Area)",2014,"102.584","75.794","106.593","99.124","99.337"
"2772","25220","Hammond, LA (Metropolitan Statistical Area)",2014,"91.809","59.895","98.434","103.974","88.663"
