variable,estimate,latitude,longitude
is_crime_los_angeles VEHICLE - STOLEN,1,34.1727,-118.5535
"is_crime_los_angeles VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,33.8583,-118.2994
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0909,-118.2893
"is_crime_los_angeles VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,34.0907,-118.3421
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.3049,-118.4495
"is_crime_los_angeles RAPE, FORCIBLE",1,34.1237,-118.1721
is_crime_los_angeles VEHICLE - STOLEN,1,33.9688,-118.2893
is_crime_los_angeles INTIMATE PARTNER - AGGRAVATED ASSAULT,1,34.0442,-118.346
is_crime_los_angeles BURGLARY,1,33.9771,-118.3768
is_crime_los_angeles BURGLARY,1,34.0636,-118.296
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.008,-118.2395
is_crime_los_angeles BRANDISH WEAPON,1,34.0884,-118.2258
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.2282,-118.571
is_crime_los_angeles VEHICLE - STOLEN,1,33.9782,-118.2914
is_crime_los_angeles VEHICLE - STOLEN,1,34.0784,-118.2791
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.1389,-118.4611
is_crime_los_angeles SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1,34.2282,-118.5604
is_crime_los_angeles CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1,33.949,-118.2477
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.2828,-118.377
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0291,-118.3669
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.1977,-118.536
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.2758,-118.4052
is_crime_los_angeles CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1,34.2591,-118.4281
is_crime_los_angeles THEFT OF IDENTITY,1,34.1875,-118.39
is_crime_los_angeles VEHICLE - STOLEN,1,34.0255,-118.1957
is_crime_los_angeles SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1,34.202,-118.6065
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.202,-118.6065
is_crime_los_angeles THEFT OF IDENTITY,1,34.054,-118.5191
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.2265,-118.4709
is_crime_los_angeles VEHICLE - STOLEN,1,34.0276,-118.2005
"is_crime_los_angeles ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,33.9555,-118.2871
is_crime_los_angeles VEHICLE - STOLEN,1,34.0462,-118.276
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.1667,-118.4053
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,33.9348,-118.2487
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.0563,-118.4372
is_crime_los_angeles BURGLARY FROM VEHICLE,1,34.2248,-118.5151
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,33.9703,-118.2827
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,33.9511,-118.309
is_crime_los_angeles THEFT OF IDENTITY,1,34.1921,-118.4356
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0381,-118.284
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0171,-118.3531
is_crime_los_angeles VEHICLE - STOLEN,1,34.0431,-118.3482
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.2745,-118.4403
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,33.9406,-118.2478
is_crime_los_angeles VIOLATION OF RESTRAINING ORDER,1,34.2129,-118.3564
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,33.9474,-118.2453
is_crime_los_angeles VEHICLE - STOLEN,1,34.0589,-118.2821
is_crime_los_angeles VEHICLE - STOLEN,1,34.0219,-118.3029
is_crime_los_angeles BATTERY - SIMPLE ASSAULT,1,33.9918,-118.4791
is_crime_los_angeles VEHICLE - STOLEN,1,34.0336,-118.2756
is_crime_los_angeles THEFT OF IDENTITY,1,34.052,-118.1958
is_crime_los_angeles VEHICLE - STOLEN,1,34.2011,-118.4623
is_crime_los_angeles CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1,34.2127,-118.5579
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.1737,-118.5407
is_crime_los_angeles BRANDISH WEAPON,1,34.0818,-118.3135
"is_crime_los_angeles BUNCO, PETTY THEFT",1,33.9564,-118.2756
