variable,estimate,latitude,longitude
"is_crime_los_angeles BUNCO, GRAND THEFT",1,34.0752,-118.2673
is_crime_los_angeles THEFT OF IDENTITY,1,34.082,-118.2649
is_crime_los_angeles THEFT OF IDENTITY,1,34.0615,-118.2412
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.0731,-118.2905
is_crime_los_angeles THEFT OF IDENTITY,1,34.0395,-118.26220000000001
is_crime_los_angeles THEFT OF IDENTITY,1,34.0339,-118.3654
is_crime_los_angeles THEFT OF IDENTITY,1,34.1462,-118.3706
is_crime_los_angeles THEFT OF IDENTITY,1,34.1032,-118.3361
is_crime_los_angeles THEFT OF IDENTITY,1,34.0377,-118.3684
"is_crime_los_angeles RAPE, FORCIBLE",1,34.1069,-118.3283
is_crime_los_angeles INDECENT EXPOSURE,1,34.2388,-118.4677
is_crime_los_angeles THEFT OF IDENTITY,1,34.1089,-118.1942
is_crime_los_angeles THEFT OF IDENTITY,1,34.0757,-118.2777
"is_crime_los_angeles BUNCO, GRAND THEFT",1,34.0638,-118.4324
is_crime_los_angeles THEFT OF IDENTITY,1,34.2301,-118.4633
is_crime_los_angeles THEFT OF IDENTITY,1,34.1042,-118.305
is_crime_los_angeles INTIMATE PARTNER - AGGRAVATED ASSAULT,1,34.1831,-118.3681
is_crime_los_angeles THEFT OF IDENTITY,1,34.2541,-118.2898
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,33.9455,-118.2608
is_crime_los_angeles ROBBERY,1,33.9747,-118.2809
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.1015,-118.3425
is_crime_los_angeles THEFT OF IDENTITY,1,34.0998,-118.3267
is_crime_los_angeles THEFT OF IDENTITY,1,34.0637,-118.2916
is_crime_los_angeles ORAL COPULATION,1,34.2814,-118.4269
is_crime_los_angeles UNAUTHORIZED COMPUTER ACCESS,1,34.2012,-118.4706
"is_crime_los_angeles RAPE, FORCIBLE",1,34.194,-118.3921
is_crime_los_angeles THEFT OF IDENTITY,1,34.2283,-118.4636
is_crime_los_angeles SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1,34.0073,-118.3013
is_crime_los_angeles THEFT OF IDENTITY,1,33.7343,-118.299
is_crime_los_angeles THEFT OF IDENTITY,1,34.1903,-118.4163
is_crime_los_angeles OTHER MISCELLANEOUS CRIME,1,34.0399,-118.3311
"is_crime_los_angeles BUNCO, PETTY THEFT",1,34.0521,-118.3722
is_crime_los_angeles PEEPING TOM,1,34.2199,-118.413
"is_crime_los_angeles SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1,33.9801,-118.2914
"is_crime_los_angeles BUNCO, GRAND THEFT",1,34.0622,-118.3429
is_crime_los_angeles THEFT OF IDENTITY,1,33.9438,-118.287
is_crime_los_angeles THEFT OF IDENTITY,1,34.0753,-118.2994
is_crime_los_angeles THEFT OF IDENTITY,1,33.9833,-118.28
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.1035,-118.3334
"is_crime_los_angeles RAPE, ATTEMPTED",1,34.2265,-118.4565
is_crime_los_angeles OTHER MISCELLANEOUS CRIME,1,34.0591,-118.3634
is_crime_los_angeles THEFT OF IDENTITY,1,34.153,-118.4312
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.069,-118.2991
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0109,-118.4305
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.2562,-118.4264
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.1939,-118.4243
"is_crime_los_angeles BUNCO, GRAND THEFT",1,34.0703,-118.268
is_crime_los_angeles SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1,34.0256,-118.3177
is_crime_los_angeles THEFT OF IDENTITY,1,34.0713,-118.3734
is_crime_los_angeles THEFT OF IDENTITY,1,33.9797,-118.2695
is_crime_los_angeles THEFT OF IDENTITY,1,34.0598,-118.2865
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.0672,-118.3016
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,33.7451,-118.2879
is_crime_los_angeles THEFT OF IDENTITY,1,34.2178,-118.373
is_crime_los_angeles THEFT OF IDENTITY,1,34.0674,-118.2489
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,33.9969,-118.3133
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.0761,-118.3665
"is_crime_los_angeles SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1,34.1218,-118.2616
is_crime_los_angeles THEFT OF IDENTITY,1,34.0146,-118.3057
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.1859,-118.5255
is_crime_los_angeles CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1,34.0491,-118.3381
is_crime_los_angeles THEFT OF IDENTITY,1,34.2684,-118.5601
is_crime_los_angeles STALKING,1,34.1649,-118.4028
"is_crime_los_angeles SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1,34.3172,-118.4341
is_crime_los_angeles VEHICLE - STOLEN,1,33.9756,-118.4598
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.2283,-118.4575
"is_crime_los_angeles SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1,33.791,-118.2917
is_crime_los_angeles THEFT OF IDENTITY,1,34.0032,-118.3294
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.0395,-118.3945
is_crime_los_angeles THEFT OF IDENTITY,1,34.144,-118.2219
is_crime_los_angeles THEFT OF IDENTITY,1,34.195,-118.4815
is_crime_los_angeles THEFT OF IDENTITY,1,34.0693,-118.2687
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.1794,-118.4189
is_crime_los_angeles STALKING,1,34.2209,-118.5989
is_crime_los_angeles THEFT OF IDENTITY,1,34.2373,-118.5338
is_crime_los_angeles THEFT OF IDENTITY,1,33.9932,-118.3187
is_crime_los_angeles THEFT OF IDENTITY,1,34.0835,-118.3299
is_crime_los_angeles THEFT OF IDENTITY,1,34.0363,-118.3078
is_crime_los_angeles CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1,33.7243,-118.2907
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,33.7968,-118.2999
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.2265,-118.4565
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.161,-118.5315
is_crime_los_angeles THEFT OF IDENTITY,1,34.0039,-118.2717
is_crime_los_angeles SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1,34.1179,-118.2488
is_crime_los_angeles THEFT OF IDENTITY,1,34.164,-118.4553
is_crime_los_angeles THEFT OF IDENTITY,1,34.2265,-118.4654
is_crime_los_angeles SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1,34.0448,-118.2474
is_crime_los_angeles CHILD ANNOYING (17YRS & UNDER),1,34.2686,-118.4161
is_crime_los_angeles THEFT OF IDENTITY,1,34.0164,-118.2973
is_crime_los_angeles THEFT OF IDENTITY,1,34.2875,-118.4181
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.2179,-118.4078
is_crime_los_angeles THEFT OF IDENTITY,1,34.1032,-118.3625
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0039,-118.2454
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0075,-118.2775
is_crime_los_angeles THEFT OF IDENTITY,1,34.1847,-118.5928
is_crime_los_angeles THEFT OF IDENTITY,1,34.0623,-118.4887
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.0599,-118.3143
is_crime_los_angeles THEFT OF IDENTITY,1,34.0488,-118.2553
is_crime_los_angeles BURGLARY,1,34.2326,-118.3694
is_crime_los_angeles THEFT OF IDENTITY,1,34.3196,-118.4561
is_crime_los_angeles THEFT OF IDENTITY,1,34.1683,-118.5787
is_crime_los_angeles THEFT OF IDENTITY,1,34.2841,-118.5459
"is_crime_los_angeles SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1,33.9528,-118.3003
is_crime_los_angeles THEFT OF IDENTITY,1,34.2538,-118.2811
is_crime_los_angeles THEFT OF IDENTITY,1,34.2554,-118.3214
is_crime_los_angeles BURGLARY,1,33.7415,-118.295
is_crime_los_angeles SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1,33.9703,-118.2783
is_crime_los_angeles VEHICLE - STOLEN,1,34.0667,-118.4396
"is_crime_los_angeles SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1,34.0139,-118.2565
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.1088,-118.227
is_crime_los_angeles THEFT OF IDENTITY,1,34.2633,-118.3105
is_crime_los_angeles THEFT OF IDENTITY,1,34.154,-118.4866
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.1079,-118.3337
is_crime_los_angeles THEFT OF IDENTITY,1,34.2012,-118.5579
"is_crime_los_angeles RAPE, FORCIBLE",1,33.7882,-118.3012
is_crime_los_angeles THEFT OF IDENTITY,1,34.0268,-118.3318
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,33.9933,-118.4765
is_crime_los_angeles THREATENING PHONE CALLS/LETTERS,1,34.0642,-118.2966
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.0126,-118.3403
is_crime_los_angeles THEFT OF IDENTITY,1,34.1685,-118.5777
is_crime_los_angeles BURGLARY FROM VEHICLE,1,33.9265,-118.2739
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,33.7334,-118.2946
"is_crime_los_angeles BUNCO, GRAND THEFT",1,34.1412,-118.3722
is_crime_los_angeles ORAL COPULATION,1,34.1902,-118.5448
is_crime_los_angeles THEFT OF IDENTITY,1,33.7426,-118.3195
"is_crime_los_angeles SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1,33.9892,-118.3089
is_crime_los_angeles THEFT OF IDENTITY,1,34.2157,-118.402
is_crime_los_angeles THEFT OF IDENTITY,1,34.0835,-118.3428
is_crime_los_angeles THEFT OF IDENTITY,1,34.2688,-118.5372
is_crime_los_angeles THEFT OF IDENTITY,1,34.1807,-118.536
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.0499,-118.2879
is_crime_los_angeles VANDALISM - MISDEAMEANOR ($399 OR UNDER),1,34.1016,-118.3452
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0484,-118.3479
"is_crime_los_angeles RAPE, FORCIBLE",1,34.1685,-118.4008
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.0724,-118.2467
is_crime_los_angeles THEFT OF IDENTITY,1,34.0511,-118.4643
is_crime_los_angeles THEFT OF IDENTITY,1,34.1776,-118.3747
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.0037,-118.289
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,34.284,-118.3861
is_crime_los_angeles THEFT OF IDENTITY,1,34.1785,-118.3774
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.1576,-118.4062
is_crime_los_angeles THEFT OF IDENTITY,1,34.194,-118.4247
is_crime_los_angeles DOCUMENT FORGERY / STOLEN FELONY,1,34.2754,-118.418
is_crime_los_angeles THEFT OF IDENTITY,1,34.0361,-118.3402
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,33.7211,-118.3206
is_crime_los_angeles CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1,34.2551,-118.4135
is_crime_los_angeles THEFT OF IDENTITY,1,33.9154,-118.2894
is_crime_los_angeles ORAL COPULATION,1,33.9532,-118.2446
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,33.8234,-118.3038
is_crime_los_angeles BURGLARY,1,34.2064,-118.4059
is_crime_los_angeles THEFT OF IDENTITY,1,34.2388,-118.4677
is_crime_los_angeles THEFT OF IDENTITY,1,34.0509,-118.2968
is_crime_los_angeles THEFT OF IDENTITY,1,34.1892,-118.4749
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.1594,-118.3657
is_crime_los_angeles THEFT OF IDENTITY,1,34.1146,-118.4039
is_crime_los_angeles THEFT OF IDENTITY,1,33.9975,-118.3192
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,33.9818,-118.3221
is_crime_los_angeles THEFT OF IDENTITY,1,34.0881,-118.2099
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,34.0772,-118.2584
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.2279,-118.4213
is_crime_los_angeles THEFT OF IDENTITY,1,34.0266,-118.3566
is_crime_los_angeles THEFT OF IDENTITY,1,34.167,-118.522
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.0333,-118.1946
is_crime_los_angeles THEFT OF IDENTITY,1,33.7412,-118.3195
is_crime_los_angeles THEFT OF IDENTITY,1,34.1747,-118.5245
is_crime_los_angeles THEFT OF IDENTITY,1,34.1203,-118.2143
is_crime_los_angeles THEFT OF IDENTITY,1,34.1885,-118.4148
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,33.7642,-118.3081
is_crime_los_angeles THEFT OF IDENTITY,1,34.0682,-118.2833
is_crime_los_angeles CHILD ANNOYING (17YRS & UNDER),1,34.0759,-118.263
is_crime_los_angeles THEFT OF IDENTITY,1,34.0075,-118.2565
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.0611,-118.2784
is_crime_los_angeles THEFT OF IDENTITY,1,33.9428,-118.2695
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.0668,-118.4573
is_crime_los_angeles BURGLARY,1,33.8584,-118.3018
is_crime_los_angeles DOCUMENT FORGERY / STOLEN FELONY,1,34.2661,-118.4257
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.2459,-118.4185
is_crime_los_angeles THEFT OF IDENTITY,1,34.1505,-118.44
is_crime_los_angeles THEFT OF IDENTITY,1,34.0208,-118.2643
is_crime_los_angeles THEFT OF IDENTITY,1,33.991,-118.3193
is_crime_los_angeles THEFT OF IDENTITY,1,33.7562,-118.3065
is_crime_los_angeles CHILD ABUSE (PHYSICAL) - AGGRAVATED ASSAULT,1,34.1249,-118.1884
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.0488,-118.2518
is_crime_los_angeles THEFT OF IDENTITY,1,34.0712,-118.2979
is_crime_los_angeles THEFT OF IDENTITY,1,34.1649,-118.3982
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.0691,-118.2979
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.0761,-118.3772
is_crime_los_angeles THEFT OF IDENTITY,1,34.1112,-118.221
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0944,-118.318
"is_crime_los_angeles SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1,34.0522,-118.3699
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0765,-118.2118
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.1192,-118.2305
is_crime_los_angeles THEFT OF IDENTITY,1,33.9581,-118.4522
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,33.9971,-118.2565
is_crime_los_angeles THEFT OF IDENTITY,1,34.12,-118.1893
is_crime_los_angeles THEFT OF IDENTITY,1,34.0762,-118.2119
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.0545,-118.3314
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.1794,-118.4189
is_crime_los_angeles THEFT OF IDENTITY,1,34.0355,-118.3361
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.0447,-118.5265
is_crime_los_angeles THEFT OF IDENTITY,1,34.2286,-118.4271
is_crime_los_angeles THEFT OF IDENTITY,1,34.053,-118.2649
is_crime_los_angeles DOCUMENT FORGERY / STOLEN FELONY,1,34.1866,-118.5273
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.0642,-118.2979
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.1639,-118.4611
is_crime_los_angeles THEFT OF IDENTITY,1,34.2609,-118.5989
is_crime_los_angeles THEFT OF IDENTITY,1,33.7212,-118.2909
is_crime_los_angeles SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1,34.2591,-118.5273
is_crime_los_angeles DOCUMENT FORGERY / STOLEN FELONY,1,34.2183,-118.5929
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.2053,-118.6517
"is_crime_los_angeles RAPE, FORCIBLE",1,33.7772,-118.2609
is_crime_los_angeles ORAL COPULATION,1,34.0873,-118.1929
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.2393,-118.3938
"is_crime_los_angeles RAPE, FORCIBLE",1,34.086,-118.3091
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.2609,-118.5908
is_crime_los_angeles THEFT OF IDENTITY,1,34.0834,-118.2628
is_crime_los_angeles THEFT OF IDENTITY,1,34.0926,-118.3179
is_crime_los_angeles BURGLARY,1,34.045,-118.2347
"is_crime_los_angeles RAPE, FORCIBLE",1,34.2648,-118.5023
is_crime_los_angeles FALSE POLICE REPORT,1,34.0548,-118.3932
is_crime_los_angeles SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1,34.3138,-118.4385
is_crime_los_angeles THEFT OF IDENTITY,1,34.054,-118.4022
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.0002,-118.274
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,33.9389,-118.2327
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.0467,-118.3463
is_crime_los_angeles THEFT OF IDENTITY,1,34.0509,-118.2926
is_crime_los_angeles THEFT OF IDENTITY,1,34.0491,-118.2558
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.1386,-118.4532
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.024,-118.2835
is_crime_los_angeles THEFT OF IDENTITY,1,34.0519,-118.2531
"is_crime_los_angeles VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,34.0477,-118.3794
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.1608,-118.3745
is_crime_los_angeles SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,1,34.121,-118.2042
is_crime_los_angeles BURGLARY,1,34.1476,-118.4447
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0993,-118.3092
is_crime_los_angeles INTIMATE PARTNER - SIMPLE ASSAULT,1,34.0572,-118.3482
is_crime_los_angeles THEFT OF IDENTITY,1,34.1837,-118.5846
"is_crime_los_angeles ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1,34.0782,-118.3695
is_crime_los_angeles INTIMATE PARTNER - AGGRAVATED ASSAULT,1,34.166,-118.5095
"is_crime_los_angeles RAPE, FORCIBLE",1,34.1005,-118.3214
"is_crime_los_angeles RAPE, FORCIBLE",1,34.2628,-118.4231
is_crime_los_angeles DOCUMENT FORGERY / STOLEN FELONY,1,34.2845,-118.424
is_crime_los_angeles THEFT OF IDENTITY,1,34.2147,-118.5142
is_crime_los_angeles CHILD ANNOYING (17YRS & UNDER),1,34.051,-118.227
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0058,-118.2546
is_crime_los_angeles DOCUMENT FORGERY / STOLEN FELONY,1,34.0836,-118.3487
"is_crime_los_angeles EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",1,34.1829,-118.5975
is_crime_los_angeles THEFT OF IDENTITY,1,34.0085,-118.3274
is_crime_los_angeles THEFT OF IDENTITY,1,34.183,-118.4704
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.0945,-118.2903
is_crime_los_angeles THEFT OF IDENTITY,1,33.7288,-118.288
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.1796,-118.5535
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.0677,-118.2857
is_crime_los_angeles CHILD ANNOYING (17YRS & UNDER),1,33.9393,-118.2673
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0667,-118.3003
is_crime_los_angeles BURGLARY FROM VEHICLE,1,34.1938,-118.5955
is_crime_los_angeles THEFT OF IDENTITY,1,34.0183,-118.3182
"is_crime_los_angeles RAPE, FORCIBLE",1,34.2258,-118.4494
"is_crime_los_angeles THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1,34.2084,-118.4973
"is_crime_los_angeles RAPE, FORCIBLE",1,34.0944,-118.3517
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,33.9688,-118.2714
"is_crime_los_angeles RAPE, FORCIBLE",1,33.7882,-118.3012
is_crime_los_angeles EXTORTION,1,34.0248,-118.1956
is_crime_los_angeles THEFT OF IDENTITY,1,34.1793,-118.6361
is_crime_los_angeles THEFT OF IDENTITY,1,34.1537,-118.4662
is_crime_los_angeles THEFT OF IDENTITY,1,34.0649,-118.4372
"is_crime_los_angeles SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1,33.7948,-118.2694
is_crime_los_angeles THEFT OF IDENTITY,1,34.2209,-118.3717
is_crime_los_angeles THEFT OF IDENTITY,1,34.0925,-118.2069
is_crime_los_angeles BATTERY - SIMPLE ASSAULT,1,34.0355,-118.2991
is_crime_los_angeles THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),1,34.1939,-118.4138
is_crime_los_angeles THEFT OF IDENTITY,1,34.1594,-118.4171
"is_crime_los_angeles RAPE, FORCIBLE",1,34.2175,-118.3703
is_crime_los_angeles THEFT OF IDENTITY,1,33.9897,-118.2842
is_crime_los_angeles VEHICLE - STOLEN,1,34.1827,-118.4509
is_crime_los_angeles THEFT OF IDENTITY,1,34.1649,-118.3664
is_crime_los_angeles THEFT OF IDENTITY,1,34.212,-118.3384
is_crime_los_angeles SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,1,33.9703,-118.2783
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.1207,-118.2154
is_crime_los_angeles THEFT OF IDENTITY,1,34.0129,-118.349
is_crime_los_angeles THEFT OF IDENTITY,1,33.9862,-118.3002
is_crime_los_angeles THEFT OF IDENTITY,1,34.1781,-118.4179
is_crime_los_angeles THEFT OF IDENTITY,1,34.2028,-118.6373
"is_crime_los_angeles RAPE, FORCIBLE",1,34.1903,-118.4815
is_crime_los_angeles THEFT OF IDENTITY,1,34.0654,-118.3004
is_crime_los_angeles THEFT OF IDENTITY,1,34.0529,-118.3366
is_crime_los_angeles THEFT OF IDENTITY,1,33.9905,-118.4579
is_crime_los_angeles THEFT OF IDENTITY,1,33.7735,-118.2737
is_crime_los_angeles THEFT OF IDENTITY,1,34.0415,-118.3431
is_crime_los_angeles THEFT OF IDENTITY,1,34.1794,-118.4076
is_crime_los_angeles BATTERY - SIMPLE ASSAULT,1,34.12,-118.2288
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.0941,-118.2835
is_crime_los_angeles THEFT OF IDENTITY,1,33.9837,-118.3197
is_crime_los_angeles THEFT OF IDENTITY,1,34.1721,-118.4487
is_crime_los_angeles THEFT OF IDENTITY,1,34.0908,-118.3046
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,34.0234,-118.2102
is_crime_los_angeles BATTERY WITH SEXUAL CONTACT,1,34.205,-118.4339
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.2148,-118.5404
is_crime_los_angeles SEXUAL PENETRATION W/FOREIGN OBJECT,1,34.1904,-118.6059
"is_crime_los_angeles VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",1,34.0332,-118.3423
is_crime_los_angeles THEFT OF IDENTITY,1,33.9849,-118.4445
is_crime_los_angeles THEFT OF IDENTITY,1,34.2147,-118.523
"is_crime_los_angeles SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",1,34.0139,-118.2565
is_crime_los_angeles CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1,33.9842,-118.2789
"is_crime_los_angeles RAPE, FORCIBLE",1,34.2486,-118.6133
is_crime_los_angeles CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1,33.9523,-118.2476
is_crime_los_angeles THEFT OF IDENTITY,1,34.1959,-118.3943
is_crime_los_angeles THEFT OF IDENTITY,1,34.2049,-118.3845
"is_crime_los_angeles LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1,34.1858,-118.3846
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.0834,-118.2544
"is_crime_los_angeles RAPE, FORCIBLE",1,34.1837,-118.4465
is_crime_los_angeles THEFT OF IDENTITY,1,33.7978,-118.3043
is_crime_los_angeles THEFT PLAIN - PETTY ($950 & UNDER),1,34.1976,-118.4771
is_crime_los_angeles THEFT OF IDENTITY,1,34.3275,-118.4298
is_crime_los_angeles THEFT OF IDENTITY,1,34.1733,-118.6002
is_crime_los_angeles DOCUMENT FORGERY / STOLEN FELONY,1,34.0472,-118.301
is_crime_los_angeles CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,1,34.2066,-118.4662
is_crime_los_angeles DOCUMENT FORGERY / STOLEN FELONY,1,34.2545,-118.4272
"is_crime_los_angeles BUNCO, GRAND THEFT",1,34.0618,-118.2891
